iter	Passed	Remaining
582	12792897	31093542
583	12815314	31072747
584	12836434	31048810
585	12856404	31022108
586	12876600	30995972
587	12900827	30979538
588	12925551	30964267
589	12949660	30947494
590	12967091	30914773
591	12987624	30889484
592	13011330	30871739
593	13032200	30847261
594	13054386	30825905
595	13075065	30800992
596	13095441	30775385
597	13116620	30751676
598	13142141	30738129
599	13161813	30710898
600	13179996	30680224
601	13201620	30657583
602	13221376	30630618
603	13240202	30601526
604	13261584	30578365
605	13282734	30554674
606	13303124	30529246
607	13320426	30496764
608	13343804	30478213
609	13362019	30447880
610	13379927	30416888
611	13399274	30389204
612	13419465	30363455
613	13443706	30346868
614	13463537	30320323
615	13486003	30299722
616	13505170	30271718
617	13523153	30241096
618	13543608	30216031
619	13563237	30189140
620	13584785	30166536
621	13607794	30147172
622	13628142	30121914
623	13653110	30106859
624	13677251	30089953
625	13697853	30065257
626	13720093	30044159
627	13741174	30020527
628	13761495	29995246
629	13785435	29977852
630	13805398	29951807
631	13826396	29928022
632	13846014	29901266
633	13868614	29880957
634	13891591	29861452
635	13913890	29840481
636	13936787	29820786
637	13956652	29794609
638	13976342	29768077
639	13996816	29743236
640	14017652	29719172
641	14041051	29700542
642	14065270	29683626
643	14082929	29652876
644	14105273	29632007
645	14126563	29608927
646	14148729	29587683
647	14168215	29560845
648	14186320	29531153
649	14206724	29506274
650	14227380	29481930
651	14248554	29458668
652	14269152	29434224
653	14291112	29412595
654	14315034	29394994
655	14336295	29371923
656	14356044	29345764
657	14375306	29318635
658	14397891	29298288
659	14417558	29272012
660	14443466	29258398
661	14463615	29233108
662	14482772	29205831
663	14505865	29186499
664	14529072	29167387
665	14552180	29148062
666	14573036	29124225
667	14591725	29096074
668	14609896	29066923
669	14630920	29043469
670	14654638	29025357
671	14671907	28994483
672	14692130	28969474
673	14712359	28944493
674	14731449	28917289
675	14750777	28890575
676	14772346	28868264
677	14791705	28841644
678	14811038	28814995
679	14832299	28792110
680	14849048	28760492
681	14867981	28733137
682	14886560	28705125
683	14908909	28684393
684	14928247	28657875
685	14946649	28629587
686	14967278	28605584
687	14990186	28585936
688	15007774	28556157
689	15028535	28532436
690	15050423	28510860
691	15075064	28494485
692	15096733	28472483
693	15117120	28448068
694	15138854	28426194
695	15157257	28398079
696	15175801	28370258
697	15200081	28353160
698	15220415	28328699
699	15239886	28302645
700	15261977	28281466
701	15282844	28258022
702	15303126	28233505
703	15321474	28205442
704	15346810	28190239
705	15368995	28169235
706	15392981	28151519
707	15411406	28123639
708	15429137	28094521
709	15450490	28072018
710	15470319	28046754
711	15490948	28022951
712	15511538	27999089
713	15530699	27972660
714	15552242	27950533
715	15574603	27929875
716	15595333	27906293
717	15616923	27884256
718	15636150	27858009
719	15653574	27828577
720	15674356	27805134
721	15694508	27780584
722	15717718	27761448
723	15740217	27741046
724	15761632	27718732
725	15782915	27696190
726	15805950	27676719
727	15827449	27654555
728	15849496	27633346
729	15872928	27614546
730	15900868	27603560
731	15922690	27581928
732	15944801	27560796
733	15967624	27540888
734	15992815	27525050
735	16015274	27504493
736	16032004	27474113
737	16052085	27449501
738	16071730	27424157
739	16093261	27402039
740	16112780	27376504
741	16134443	27354622
742	16153823	27328878
743	16174343	27305074
744	16193324	27278687
745	16213408	27254173
746	16233933	27230412
747	16251586	27201853
748	16268433	27171975
749	16292134	27153557
750	16311290	27127566
751	16332177	27104464
752	16352829	27080979
753	16373391	27057355
754	16396208	27037456
755	16418261	27016292
756	16439319	26993493
757	16459694	26969577
758	16479676	26945030
759	16500981	26922653
760	16521807	26899499
761	16540799	26873372
762	16560311	26848107
763	16580850	26824517
764	16600049	26798773
765	16621003	26775871
766	16640527	26750677
767	16659002	26723817
768	16678317	26698321
769	16703233	26681788
770	16722755	26656635
771	16742868	26632438
772	16768010	26616234
773	16790036	26595070
774	16807334	26566432
775	16826265	26540398
776	16845050	26514153
777	16866186	26491619
778	16887934	26470048
779	16909088	26447547
780	16931233	26426599
781	16957837	26412591
782	16978016	26388564
783	17000772	26368544
784	17018999	26341508
785	17036327	26313106
786	17057518	26290685
787	17074638	26262007
788	17096895	26241242
789	17115650	26215109
790	17134219	26188711
791	17152584	26162023
792	17174877	26141332
793	17192971	26114261
794	17211301	26087570
795	17230966	26062918
796	17249506	26036582
797	17268973	26011662
798	17289559	25988436
799	17310225	25965338
800	17328514	25938688
801	17346779	25912022
802	17364341	25884329
803	17382241	25857165
804	17403727	25835346
805	17420745	25806910
806	17438531	25779637
807	17460957	25759234
808	17483790	25739423
809	17502006	25712824
810	17526396	25695296
